iter:0, x:0.000, y:0.000, z:-1.684, phi:0.000, theta:-0.000, psi:-0.000 
iter:1, x:-0.000, y:0.000, z:-1.684, phi:0.000, theta:-0.000, psi:-0.000 
iter:2, x:-0.000, y:0.000, z:-1.685, phi:0.000, theta:-0.000, psi:-0.000 
iter:3, x:-0.000, y:0.000, z:-1.689, phi:0.000, theta:-0.000, psi:-0.000 
iter:4, x:-0.000, y:0.000, z:-1.697, phi:0.000, theta:-0.000, psi:-0.000 
iter:5, x:-0.000, y:0.000, z:-1.706, phi:0.000, theta:-0.000, psi:-0.000 
iter:6, x:-0.000, y:0.000, z:-1.719, phi:0.000, theta:-0.000, psi:-0.000 
iter:7, x:-0.000, y:0.000, z:-1.737, phi:0.000, theta:-0.000, psi:-0.000 
iter:8, x:-0.000, y:0.000, z:-1.751, phi:0.000, theta:-0.000, psi:-0.000 
iter:9, x:-0.000, y:0.000, z:-1.775, phi:0.000, theta:-0.000, psi:-0.000 
iter:10, x:-0.000, y:0.000, z:-1.796, phi:0.000, theta:-0.000, psi:-0.000 
iter:11, x:-0.000, y:0.000, z:-1.823, phi:0.000, theta:-0.000, psi:-0.000 
iter:12, x:-0.000, y:0.000, z:-1.858, phi:0.000, theta:-0.000, psi:-0.000 
iter:13, x:-0.000, y:0.000, z:-1.881, phi:0.000, theta:-0.000, psi:-0.000 
iter:14, x:-0.000, y:0.000, z:-1.921, phi:0.000, theta:-0.000, psi:-0.000 
iter:15, x:-0.000, y:0.000, z:-1.954, phi:0.000, theta:-0.000, psi:-0.000 
iter:16, x:-0.000, y:0.000, z:-2.001, phi:0.000, theta:-0.000, psi:-0.000 
iter:17, x:-0.000, y:0.000, z:-2.044, phi:0.000, theta:-0.000, psi:-0.000 
iter:18, x:-0.000, y:0.000, z:-2.084, phi:0.000, theta:-0.000, psi:-0.000 
iter:19, x:-0.000, y:0.000, z:-2.133, phi:0.000, theta:-0.000, psi:-0.000 
iter:20, x:-0.000, y:0.000, z:-2.192, phi:0.000, theta:-0.000, psi:-0.000 
iter:21, x:-0.000, y:0.000, z:-2.230, phi:0.000, theta:-0.000, psi:-0.000 
iter:22, x:-0.000, y:0.000, z:-2.295, phi:0.000, theta:-0.000, psi:-0.000 
iter:23, x:-0.000, y:0.000, z:-2.337, phi:0.000, theta:-0.000, psi:-0.000 
iter:24, x:-0.000, y:0.000, z:-2.406, phi:0.000, theta:-0.000, psi:-0.000 
iter:25, x:-0.000, y:0.000, z:-2.479, phi:0.000, theta:-0.000, psi:-0.000 
iter:26, x:-0.000, y:0.000, z:-2.527, phi:0.000, theta:-0.000, psi:-0.000 
iter:27, x:-0.000, y:0.000, z:-2.605, phi:0.000, theta:-0.000, psi:-0.000 
iter:28, x:-0.000, y:0.000, z:-2.655, phi:0.000, theta:-0.000, psi:-0.000 
iter:29, x:-0.000, y:0.000, z:-2.738, phi:0.000, theta:-0.000, psi:-0.000 
iter:30, x:-0.000, y:0.000, z:-2.801, phi:-0.008, theta:0.001, psi:-0.000 
iter:31, x:-0.000, y:-0.000, z:-2.876, phi:-0.028, theta:0.018, psi:-0.000 
iter:32, x:0.000, y:-0.000, z:-2.942, phi:-0.039, theta:0.038, psi:-0.001 
iter:33, x:0.000, y:-0.001, z:-3.019, phi:-0.048, theta:0.054, psi:-0.002 
iter:34, x:0.001, y:-0.001, z:-3.087, phi:-0.057, theta:0.064, psi:-0.002 
iter:35, x:0.002, y:-0.002, z:-3.179, phi:-0.053, theta:0.078, psi:-0.003 
iter:36, x:0.003, y:-0.003, z:-3.261, phi:-0.040, theta:0.092, psi:-0.003 
iter:37, x:0.005, y:-0.005, z:-3.331, phi:-0.036, theta:0.128, psi:-0.005 
iter:38, x:0.007, y:-0.006, z:-3.425, phi:-0.032, theta:0.196, psi:-0.007 
iter:39, x:0.010, y:-0.008, z:-3.485, phi:-0.029, theta:0.233, psi:-0.008 
iter:40, x:0.015, y:-0.010, z:-3.582, phi:-0.025, theta:0.283, psi:-0.010 
iter:41, x:0.023, y:-0.012, z:-3.682, phi:-0.022, theta:0.326, psi:-0.011 
iter:42, x:0.028, y:-0.014, z:-3.745, phi:-0.020, theta:0.350, psi:-0.011 
iter:43, x:0.040, y:-0.017, z:-3.847, phi:-0.017, theta:0.383, psi:-0.012 
