iter:0, x:0.000, y:0.000, z:-1.684, phi:0.000, theta:0.000, psi:0.000 
iter:1, x:0.000, y:0.000, z:-1.683, phi:0.000, theta:0.000, psi:0.000 
iter:2, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:3, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:4, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:5, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:6, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:7, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:8, x:-0.000, y:0.000, z:-1.682, phi:0.000, theta:0.000, psi:-0.000 
iter:9, x:-0.000, y:0.000, z:-1.630, phi:0.000, theta:0.000, psi:0.000 
iter:10, x:-0.000, y:0.000, z:-1.630, phi:0.000, theta:0.000, psi:0.000 
iter:11, x:-0.000, y:0.000, z:-1.606, phi:0.000, theta:0.000, psi:0.000 
iter:12, x:-0.000, y:0.000, z:-1.598, phi:0.000, theta:0.000, psi:0.000 
iter:13, x:-0.000, y:0.000, z:-1.590, phi:0.000, theta:0.000, psi:0.000 
iter:14, x:-0.000, y:0.000, z:-1.590, phi:0.000, theta:0.000, psi:0.000 
iter:15, x:-0.000, y:0.000, z:-1.590, phi:0.000, theta:0.000, psi:0.000 
iter:16, x:-0.000, y:0.000, z:-1.590, phi:0.000, theta:0.000, psi:0.000 
iter:17, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:18, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:19, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:20, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:21, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:22, x:-0.000, y:0.000, z:-1.569, phi:0.000, theta:0.000, psi:0.000 
iter:23, x:-0.000, y:0.000, z:-1.620, phi:0.000, theta:0.000, psi:0.000 
iter:24, x:-0.000, y:0.000, z:-1.637, phi:0.000, theta:0.000, psi:0.000 
iter:25, x:-0.000, y:0.000, z:-1.637, phi:0.000, theta:0.000, psi:0.000 
iter:26, x:-0.000, y:0.000, z:-1.637, phi:0.000, theta:0.000, psi:0.000 
iter:27, x:-0.000, y:0.000, z:-1.702, phi:0.000, theta:0.000, psi:0.000 
iter:28, x:-0.000, y:0.000, z:-1.702, phi:0.000, theta:0.000, psi:0.000 
iter:29, x:-0.000, y:0.000, z:-1.702, phi:0.000, theta:0.000, psi:0.000 
iter:30, x:-0.000, y:0.000, z:-1.702, phi:0.000, theta:0.000, psi:0.000 
iter:31, x:-0.000, y:0.000, z:-1.702, phi:0.000, theta:0.000, psi:0.000 
iter:32, x:-0.000, y:0.000, z:-1.849, phi:-0.001, theta:-0.000, psi:0.000 
iter:33, x:-0.000, y:0.000, z:-1.849, phi:-0.001, theta:-0.000, psi:0.000 
iter:34, x:-0.000, y:0.000, z:-1.849, phi:-0.001, theta:-0.000, psi:0.000 
iter:35, x:-0.000, y:0.000, z:-1.849, phi:-0.001, theta:-0.000, psi:0.000 
iter:36, x:0.000, y:-0.000, z:-2.013, phi:-0.021, theta:-0.021, psi:0.000 
